Pos,ID,Name,BV,SV,Team,1_xMins,2_xMins,3_xMins,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts,Elite%
M,45106,Mohamed Salah,12.0,12.0,LIV,83,75,67,69,67,66,0,0,0,0,0,0,7.107534844,6.750427752152084,5.409507545166549,6.092051890005253,6.0751549048754345,5.549512935321529,0,0,0,0,0,0,0
M,106430,Bukayo Saka,10.5,10.5,ARS,83,84,83,84,85,81,0,0,0,0,0,0,7.461099207135466,5.581299928629393,6.577959664590415,5.565800827481547,4.103282329092079,7.255474579889995,0,0,0,0,0,0,0
F,1677501,Erling Haaland,14.0,14.0,MCI,87,80,77,75,75,74,0,0,0,0,0,0,5.932465597,7.980614997876219,6.172376980150293,6.561787376723085,4.234845123705642,5.322056031313387,0,0,0,0,0,0,0
M,23472,Son Heung-min,9.5,9.5,TOT,90,86,85,86,84,84,0,0,0,0,0,0,6.540361317367112,6.449140021,5.566348925675053,4.283783134609284,6.449468187931616,5.910779548137984,0,0,0,0,0,0,0
M,242906,Cole Palmer,10.0,10.0,CHE,87,83,80,80,81,80,0,0,0,0,0,0,4.399586206099502,5.908271898,5.750699765755081,5.161631421,5.924690631,5.830105900775199,0,0,0,0,0,0,0
M,201990,Martin Adegaard,8.0,8.0,ARS,90,88,86,87,85,84,0,0,0,0,0,0,6.629354920532976,5.086051911303524,5.741784853495604,4.946503498790205,3.7516356338440255,6.339690091359446,0,0,0,0,0,0,0
M,160701,Bruno Fernandes,8.5,8.5,MUN,91,88,87,85,85,84,0,0,0,0,0,0,6.201716272238527,4.937115031111518,4.685524036805962,5.665126072,4.785113968869041,5.435337071454992,0,0,0,0,0,0,0
F,183114,Ollie Watkins,9.5,9.5,AVL,90,88,87,85,86,85,0,0,0,0,0,0,5.461825209163799,3.7748616272350857,5.328385071719887,5.212059050848116,5.841189569164158,5.420588077240192,0,0,0,0,0,0,0
M,55898,Phil Foden,10.0,10.0,MCI,80,76,74,72,72,72,0,0,0,0,0,0,4.819199535052462,6.634445609807009,5.138919948477189,5.610188048298832,3.7275059826360257,4.5434576780470834,0,0,0,0,0,0,0
M,180321,Eberechi Eze,7.0,7.0,CRY,83,79,78,75,76,76,0,0,0,0,0,0,4.516978539788719,5.376492893101895,4.029161467021004,5.102571998590651,4.908815158328851,4.119888134957717,0,0,0,0,0,0,0
