"Id","Code","Player Name","Position","HidPos","Team","Value","Status","Picked %","PickedTop 100 %","PickedTop 1000 %","Tot Pts","PPG","PPM","T6","G6","PPG6","Min","Goals","Assists","CS","GC","OG","PS","PM","Y","R","Saves","Bonus","BPS","Inf","Creat","Threat","ICT","Wk 38","Wk 37","Wk 36","Wk 35","Wk 34","Wk 33","Wk 32","Wk 31","Wk 30","Wk 29","Wk 28","Wk 27","Wk 26","Wk 25","Wk 24","Wk 23","Wk 22","Wk 21","Wk 20","Wk 19","Wk 18","Wk 17","Wk 16","Wk 15","Wk 14","Wk 13","Wk 12","Wk 11","Wk 10","Wk 9","Wk 8","Wk 7","Wk 6","Wk 5","Wk 4","Wk 3","Wk 2","Wk 1"
"3","226597","Gabriel","DEF","2","Arsenal","6","a","11.5","0","0","149","4.1","24.83","0","0","0.00","3042","3","1","16","26","1","0","0","4","0","0","8","676","675.8","121.9","379","117.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","445122","J.Timber","DEF","2","Arsenal","5.5","a","1.7","0","0","0","0","0.00","0","0","0.00","70","0","0","0","0","0","0","0","2","0","0","0","4","5.8","4.7","2","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","440854","Kiwior","DEF","2","Arsenal","5","a","0.3","0","0","67","3.4","13.40","0","0","0.00","942","1","3","6","8","0","0","0","1","0","0","1","260","228.8","106.9","90","42.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","462424","Saliba","DEF","2","Arsenal","6","a","40.3","0","0","164","4.3","27.33","0","0","0.00","3420","2","1","18","29","0","0","0","4","0","0","13","781","697.2","152.1","140","99.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","192895","Tierney","DEF","2","Arsenal","4.5","a","0.2","0","0","0","0","0.00","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","223723","Tomiyasu","DEF","2","Arsenal","5","a","0.4","0","0","70","3.2","14.00","0","0","0.00","1140","2","1","6","10","0","0","0","0","1","0","4","244","247.0","141.8","143","52.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","198869","White","DEF","2","Arsenal","6.5","a","11.9","0","0","182","4.9","28.00","0","0","0.00","2987","4","5","18","26","0","0","0","8","0","0","14","776","765.8","589.4","234","159.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","206325","Zinchenko","DEF","2","Arsenal","5","a","1.6","0","0","104","3.9","20.80","0","0","0.00","1717","1","2","9","15","0","0","0","2","0","0","16","468","395.4","474.8","133","100.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","106468","Alex Moreno","DEF","2","Aston Villa","4.5","a","0.8","0","0","49","2.3","10.89","0","0","0.00","1024","2","0","3","20","1","0","0","2","0","0","5","211","217.8","156.9","152","52.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","199796","Cash","DEF","2","Aston Villa","4.5","a","2.9","0","0","64","2.2","14.22","0","0","0.00","2138","2","2","3","36","1","0","0","8","0","0","4","337","465.2","231.8","378","107.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","165659","Diego Carlos","DEF","2","Aston Villa","4.5","a","0.6","0","0","55","2","12.22","0","0","0.00","1809","0","0","6","36","0","0","0","4","0","0","1","338","370.4","59.8","100","53.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","101188","Digne","DEF","2","Aston Villa","4.5","a","2","0","0","85","2.6","18.89","0","0","0.00","2405","1","4","6","41","0","0","0","7","0","0","5","420","448.4","601.7","200","125.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","123354","Hause","DEF","2","Aston Villa","4","a","0.5","0","0","0","0","0.00","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","465390","Kesler-Hayden","DEF","2","Aston Villa","4","a","0.2","0","0","3","1","0.75","0","0","0.00","5","0","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"380","221820","Martinez","DEF","2","Man United","4.5","a","4.9","0","0","15","1.4","3.33","0","0","0.00","643","0","1","1","12","1","0","0","3","0","0","0","134","144.4","45.7","4","19.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","578545","Nedeljkovic","DEF","2","Aston Villa","4","a","0.2","0","0","0","0","0.00","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","244954","Pau","DEF","2","Aston Villa","4.5","a","1.6","0","0","85","2.9","18.89","0","0","0.00","2462","2","0","6","37","0","0","0","1","0","0","4","461","479.4","150.6","135","76.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
