Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts
M,328.0,Mohamed Salah,12.0,12.0,Liverpool,83,7.10753484443671,75,6.750427752152084,67,5.409507545166549,69,6.092051890005253,67,6.0751549048754345,66,5.549512935321529,0,0,0,0,0,0,0,0,0,0,0,0
M,17.0,Bukayo Saka,10.5,10.5,Arsenal,83,7.461099207135466,84,5.581299928629393,83,6.577959664590415,84,5.565800827481547,85,4.103282329092079,81,7.255474579889995,0,0,0,0,0,0,0,0,0,0,0,0
F,351.0,Erling Haaland,14.0,14.0,Man City,87,5.93246559737103,80,7.980614997876219,77,6.172376980150293,75,6.561787376723085,75,4.234845123705642,74,5.322056031313387,0,0,0,0,0,0,0,0,0,0,0,0
M,503.0,Son Heung-min,9.5,9.5,Spurs,90,6.540361317367112,86,6.44914002052072,85,5.566348925675053,86,4.283783134609284,84,6.449468187931616,84,5.910779548137984,0,0,0,0,0,0,0,0,0,0,0,0
M,182.0,Cole Palmer,10.0,10.0,Chelsea,87,4.399586206099502,83,5.90827189845496,80,5.750699765755081,80,5.16163142081611,81,5.92469063079038,80,5.830105900775199,0,0,0,0,0,0,0,0,0,0,0,0
M,13.0,Martin Ødegaard,8.0,8.0,Arsenal,90,6.629354920532976,88,5.086051911303524,86,5.741784853495604,87,4.946503498790205,85,3.7516356338440255,84,6.339690091359446,0,0,0,0,0,0,0,0,0,0,0,0
M,366.0,Bruno Fernandes,8.5,8.5,Man Utd,91,6.201716272238527,88,4.937115031111518,87,4.685524036805962,85,5.66512607194572,85,4.785113968869041,84,5.435337071454992,0,0,0,0,0,0,0,0,0,0,0,0
F,58.0,Ollie Watkins,9.5,9.5,Aston Villa,90,5.461825209163799,88,3.7748616272350857,87,5.328385071719887,85,5.212059050848116,86,5.841189569164158,85,5.420588077240192,0,0,0,0,0,0,0,0,0,0,0,0
M,348.0,Phil Foden,10.0,10.0,Man City,80,4.819199535052462,76,6.634445609807009,74,5.138919948477189,72,5.610188048298832,72,3.7275059826360257,72,4.5434576780470834,0,0,0,0,0,0,0,0,0,0,0,0
M,199.0,Eberechi Eze,7.0,7.0,Crystal Palace,83,4.516978539788719,79,5.376492893101895,78,4.029161467021004,75,5.102571998590651,76,4.908815158328851,76,4.119888134957717,0,0,0,0,0,0,0,0,0,0,0,0
G,15.0,David Raya,6.0,6.0,Arsenal,93,5.056308210475863,92,4.35673829799568,91,4.8643762758033,91,4.224612067433016,89,3.983080372937295,89,5.005521469792622,0,0,0,0,0,0,0,0,0,0,0,0
