Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,Elite%
M,1,Fábio Vieira,5.5,5.5,Arsenal,18,1.2,20,1.12,22,1.42,22,1.18,23,1.11,25,1.7,25,1.79,24,1.44,26,1.43,25,1.35,25,1.33,26,1.75,0
F,2,G.Jesus,7,7,Arsenal,35,2.62,36,2.27,38,2.89,40,2.33,38,1.87,43,3.59,43,3.62,42,2.82,43,2.69,42,2.47,44,2.46,44,3.48,0.01
D,3,Gabriel,6,6,Arsenal,89,4.66,85,3.23,83,4.06,80,2.92,80,1.97,79,4.42,78,4.43,78,3.39,78,3,77,2.86,77,2.67,77,4.27,0.13
F,4,Havertz,8,8,Arsenal,79,5.19,73,3.95,71,4.8,71,3.71,70,2.97,67,5.22,68,5.26,68,4.18,69,3.83,68,3.7,69,3.48,68,4.91,0.14
G,5,Hein,4,4,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,6,J.Timber,5.5,5.5,Arsenal,42,2.21,41,1.58,38,1.85,37,1.36,35,0.95,37,2,36,1.99,39,1.68,39,1.49,40,1.53,38,1.37,40,2.17,0.02
M,7,Jorginho,5,5,Arsenal,38,1.55,37,1.33,38,1.51,37,1.33,39,1.27,38,1.59,38,1.59,38,1.41,40,1.44,39,1.38,39,1.34,38,1.56,0
D,8,Kiwior,5,5,Arsenal,6,0.26,6,0.22,5,0.24,5,0.21,5,0.16,6,0.28,6,0.3,6,0.25,6,0.24,6,0.24,6,0.23,6,0.31,0
F,9,Martinelli,7.5,7.5,Arsenal,57,4.14,56,3.33,54,3.97,54,2.98,54,2.48,54,4.41,53,4.43,54,3.57,54,3.23,54,3.09,54,2.96,53,4.12,0.04
M,10,Nelson,5,5,Arsenal,1,0.13,0,0,0,0,0,0,2,0.13,2,0.2,1,0.14,2,0.13,2,0.14,2,0.15,2,0.14,3,0.21,0
F,11,Nketiah,6,6,Arsenal,2,0.17,2,0.15,0,0,0,0,1,0.1,2,0.2,2,0.22,2,0.16,2,0.16,2,0.14,2,0.14,2,0.21,0
M,12,Nwaneri,4.5,4.5,Arsenal,0,0,1,0.08,3,0.2,3,0.21,3,0.22,5,0.33,5,0.34,5,0.33,5,0.3,6,0.32,5,0.29,6,0.37,0
