"","ID","First Name","Last Name","Team","Position","Price £m","TPts","B Pts","L3 Avg","% Owned","% OwnedTop 100","% OwnedTop 1000","averagePoints","GW Pts","G","SOT","BCC","Tck","A","YC","RC","PM","OG","SV","CS","GC","PPMs->","D","C","OS","PC%","I","B","FW","FM"
"","209244","Phil","Foden","Manchester City","MID","6.5","392","55","0","29.9","","","8","0","26","65","16","37","13","3","0","0","0","0","0","0","","60","27","8","88","18","0","75","20"
"","223094","Erling","Haaland","Manchester City","STR","8.5","385","0","0","56.8","","","9","0","38","88","8","11","9","1","0","1","0","0","0","0","","16","1","9","77","2","1","40","25"
"","244851","Cole","Palmer","Chelsea","MID","6","368","33","0","55.9","","","8","0","25","65","24","31","18","8","0","0","0","0","0","0","","68","23","8","82","28","2","39","28"
"","223340","Bukayo","Saka","Arsenal","MID","6","363","52","0","33.1","","","7.9","0","20","44","19","84","16","4","0","0","0","0","0","0","","60","53","11","83","17","3","95","50"
"","118748","Mohamed","Salah","Liverpool","STR","7","330","2","0","24.6","","","7.5","0","25","72","28","19","16","2","0","2","0","0","0","0","","31","12","25","76","3","1","30","13"
"","141746","Bruno","Fernandes","Manchester United","MID","6","328","21","0","13.3","","","6.8","0","15","55","31","103","14","12","0","1","0","0","0","0","","34","69","14","78","39","7","41","56"
"","178301","Ollie","Watkins","Aston Villa","STR","6","315","0","0","27.5","","","6.2","0","24","58","11","16","18","7","0","0","0","0","0","0","","34","4","18","77","4","6","49","34"
"","208706","Bruno","Guimarães","Newcastle United","MID","4.5","304","83","0","6.5","","","6.1","0","7","20","13","117","11","13","0","0","0","0","0","0","","84","16","0","83","48","24","139","68"
"","178186","Jarrod","Bowen","West Ham United","STR","5","300","15","0","3.6","","","6.8","0","20","47","16","53","11","4","0","0","0","0","0","0","","48","20","22","75","21","5","55","39"
"","460842","Mohammed","Kudus","West Ham United","MID","5","300","70","0","6.2","","","6.7","0","13","27","8","94","9","7","0","0","0","0","0","0","","150","30","21","83","19","1","90","49"
"","447203","Darwin","Núñez","Liverpool","STR","4.5","284","0","0","6.8","","","5.3","0","18","69","12","37","18","11","0","1","0","0","0","0","","33","5","45","69","4","7","21","39"
"","461358","Julián","Álvarez","Manchester City","STR","4.5","280","16","0","1.6","","","5.6","0","17","55","8","31","14","4","0","0","0","0","0","0","","28","41","2","87","2","1","14","26"
"","232826","Anthony","Gordon","Newcastle United","MID","4.5","278","30","0","24.9","","","5.8","0","12","37","17","72","17","12","1","0","0","0","0","0","","63","33","9","81","10","0","91","47"
"","184029","Martin","Ødegaard","Arsenal","MID","5","272","32","0","21","","","5.8","0","11","31","18","64","13","2","0","0","0","0","0","0","","50","34","4","85","22","1","48","35"
"","232787","Conor","Gallagher","Chelsea","MID","4","269","52","0","1.1","","","5.4","0","7","24","12","108","11","8","1","0","0","0","0","0","","60","26","2","90","54","12","79","101"
"","219168","Alexander","Isak","Newcastle United","STR","5","267","3","0","34","","","6.7","0","25","51","7","10","5","1","0","1","0","0","0","0","","49","0","19","79","7","4","23","21"
"","198869","Ben","White","Arsenal","DEF","5","266","18","0","12.1","","","5.3","0","4","10","8","58","6","11","0","0","1","0","22","36","","13","14","12","83","44","26","15","29"
"","60307","Pascal","Groß","Brighton and Hove Albion","MID","4","260","58","0","0.8","","","5.5","0","5","23","14","84","14","7","0","0","0","0","0","0","","18","114","4","89","23","9","34","31"
"","101178","James","Ward-Prowse","West Ham United","MID","3.5","259","54","0","3.8","","","5.1","0","7","22","18","56","11","5","0","0","0","0","0","0","","12","92","1","88","45","11","22","35"
"","204480","Declan","Rice","Arsenal","MID","4","256","41","0","9.6","","","5.1","0","7","21","9","104","10","7","0","0","0","0","0","0","","37","25","2","89","58","18","21","41"
"","475168","João","Pedro","Brighton and Hove Albion","STR","3.5","255","26","0","3.1","","","6.4","0","20","40","12","37","3","4","0","1","0","0","0","0","","57","15","12","80","11","2","81","25"
"","220566","","Rodri","Manchester City","MID","4.5","253","36","0","10.4","","","5.5","0","9","26","8","92","14","10","1","0","0","0","0","0","","55","2","6","92","33","9","47","56"
